,zip,Latitude,Longitude,Mapped Location,geometry,latlong,Date,Is Violation,Cluster Name,Facility Type,# Cases,Is Cluster
23110,37203.0,36.15801759323343,-86.79200665397278,"(36.15801759323343, -86.79200665397278)",POINT (-86.79200665397278 36.15801759323343),"[36.15801759323343, -86.79200665397278]",2020-04-04,1.0,0,0,0.0,0.0
23313,37203.0,36.15178736160213,-86.78079259580997,"(36.15178736160213, -86.78079259580997)",POINT (-86.78079259580997 36.15178736160213),"[36.15178736160213, -86.78079259580997]",2020-04-04,1.0,0,0,0.0,0.0
23377,37203.0,36.15804126160477,-86.79227720674594,"(36.15804126160477, -86.79227720674592)",POINT (-86.79227720674594 36.15804126160477),"[36.15804126160477, -86.79227720674594]",2020-04-07,1.0,0,0,0.0,0.0
23470,37203.0,36.1490396,-86.77227289999998,"(36.1490396, -86.77227289999999)",POINT (-86.77227289999998 36.1490396),"[36.1490396, -86.77227289999998]",2020-04-03,1.0,0,0,0.0,0.0
23523,37203.0,36.14904,-86.77226999999999,"(36.14904, -86.77227)",POINT (-86.77226999999999 36.14904),"[36.14904, -86.77226999999999]",2020-04-03,1.0,0,0,0.0,0.0
23558,37203.0,36.152613834079034,-86.78630825396729,"(36.152613834079034, -86.78630825396728)",POINT (-86.78630825396729 36.15261383407903),"[36.152613834079034, -86.78630825396729]",2020-04-07,1.0,0,0,0.0,0.0
23588,37203.0,36.156729999999996,-86.79329,"(36.15673, -86.79329)",POINT (-86.79329 36.15673),"[36.156729999999996, -86.79329]",2020-04-01,1.0,0,0,0.0,0.0
23735,37203.0,36.14279065718148,-86.77077364746991,"(36.14279065718148, -86.77077364746991)",POINT (-86.77077364746991 36.14279065718148),"[36.14279065718148, -86.77077364746991]",2020-04-07,1.0,0,0,0.0,0.0
23752,37203.0,36.1665745,-86.7971598,"(36.1665745, -86.7971598)",POINT (-86.7971598 36.1665745),"[36.1665745, -86.7971598]",2020-04-07,1.0,0,0,0.0,0.0
23755,37203.0,36.139177926741205,-86.78303455415752,"(36.1391779267412, -86.78303455415752)",POINT (-86.78303455415752 36.1391779267412),"[36.139177926741205, -86.78303455415752]",2020-04-02,1.0,0,0,0.0,0.0
23790,37203.0,36.14632798361137,-86.81453668777759,"(36.14632798361137, -86.8145366877776)",POINT (-86.81453668777759 36.14632798361137),"[36.14632798361137, -86.81453668777759]",2020-04-02,1.0,0,0,0.0,0.0
23805,37203.0,36.16133,-86.78056,"(36.16133, -86.78056)",POINT (-86.78055999999999 36.16133),"[36.16133, -86.78056]",2020-04-07,1.0,0,0,0.0,0.0
23821,37203.0,36.15744,-86.79157,"(36.15744, -86.79157)",POINT (-86.79156999999999 36.15744),"[36.15744, -86.79157]",2020-07-23,1.0,0,0,0.0,0.0
23968,37203.0,36.15156035746446,-86.80664808800262,"(36.15156035746446, -86.80664808800262)",POINT (-86.80664808800262 36.15156035746446),"[36.15156035746446, -86.80664808800262]",2020-04-02,1.0,0,0,0.0,0.0
24013,37203.0,36.15934307177065,-86.79068699632553,"(36.15934307177065, -86.79068699632553)",POINT (-86.79068699632553 36.15934307177065),"[36.15934307177065, -86.79068699632553]",2020-04-03,1.0,0,0,0.0,0.0
24083,37203.0,36.1558342,-86.7855809,"(36.1558342, -86.7855809)",POINT (-86.7855809 36.1558342),"[36.1558342, -86.7855809]",2020-06-17,1.0,0,0,0.0,0.0
24169,37203.0,36.15806,-86.79996,"(36.15806, -86.79996)",POINT (-86.79996 36.15806),"[36.15806, -86.79996]",2020-04-03,1.0,0,0,0.0,0.0
24194,37203.0,36.14717534690424,-86.8077790686712,"(36.147175346904234, -86.80777906867118)",POINT (-86.80777906867119 36.14717534690424),"[36.14717534690424, -86.8077790686712]",2020-04-03,1.0,0,0,0.0,0.0
24430,37203.0,36.15819686430247,-86.79973375243807,"(36.15819686430247, -86.79973375243806)",POINT (-86.79973375243807 36.15819686430247),"[36.15819686430247, -86.79973375243807]",2020-04-03,1.0,0,0,0.0,0.0
24619,37203.0,36.15325815285856,-86.79531209242684,"(36.153258152858555, -86.79531209242683)",POINT (-86.79531209242684 36.15325815285856),"[36.15325815285856, -86.79531209242684]",2020-04-03,1.0,0,0,0.0,0.0
24651,37203.0,36.160817086423826,-86.7782653960022,"(36.160817086423826, -86.77826539600221)",POINT (-86.7782653960022 36.16081708642383),"[36.160817086423826, -86.7782653960022]",2020-05-22,1.0,0,0,0.0,0.0
24665,37203.0,36.13798303358529,-86.76982258203003,"(36.1379830335853, -86.76982258203003)",POINT (-86.76982258203003 36.13798303358529),"[36.13798303358529, -86.76982258203003]",2020-04-03,1.0,0,0,0.0,0.0
24688,37203.0,36.14904900000001,-86.7722625,"(36.14904900000001, -86.7722625)",POINT (-86.7722625 36.14904900000001),"[36.14904900000001, -86.7722625]",2020-04-03,1.0,0,0,0.0,0.0
24828,37203.0,36.15404,-86.79104,"(36.15404, -86.79104)",POINT (-86.79104 36.15404),"[36.15404, -86.79104]",2020-04-03,1.0,0,0,0.0,0.0
24966,37203.0,36.14904,-86.77226999999999,"(36.14904, -86.77227)",POINT (-86.77226999999999 36.14904),"[36.14904, -86.77226999999999]",2020-04-03,1.0,0,0,0.0,0.0
25198,37203.0,36.1469,-86.79914000000001,"(36.1469, -86.79914)",POINT (-86.79914000000001 36.1469),"[36.1469, -86.79914000000001]",2020-04-07,1.0,0,0,0.0,0.0
25233,37203.0,36.1579945,-86.7842417,"(36.1579945, -86.7842417)",POINT (-86.7842417 36.1579945),"[36.1579945, -86.7842417]",2020-04-07,1.0,0,0,0.0,0.0
25238,37203.0,36.14233202784995,-86.81532019879606,"(36.14233202784995, -86.81532019879607)",POINT (-86.81532019879606 36.14233202784995),"[36.14233202784995, -86.81532019879606]",2020-04-13,1.0,0,0,0.0,0.0
25299,37203.0,36.1487759,-86.7703489,"(36.1487759, -86.7703489)",POINT (-86.7703489 36.1487759),"[36.1487759, -86.7703489]",2020-04-07,1.0,0,0,0.0,0.0
